date,inflation
1985-10-01,4.823756291
1985-11-01,5.050456594
1985-12-01,4.914869031
1986-01-01,5.174584068
1986-02-01,4.996538315
1986-03-01,5.085772292
1986-04-01,5.221268884
1986-05-01,4.929251311
1986-06-01,4.933546871
1986-07-01,4.886928617
1986-08-01,4.743393533
1986-09-01,4.842261218
1986-10-01,4.744666482
1986-11-01,4.493195622
1986-12-01,4.560487653
1987-01-01,4.434686849
1987-02-01,4.389380841
1987-03-01,4.22613005
1987-04-01,4.282098845
1987-05-01,4.3216431
1987-06-01,4.097082798
1987-07-01,4.107141787
1987-08-01,4.21773301
1987-09-01,4.234592066
1987-10-01,4.286826485
1987-11-01,4.251599844
1987-12-01,4.231618382
1988-01-01,4.276513288
1988-02-01,4.298611687
1988-03-01,4.373500428
1988-04-01,4.344401055
1988-05-01,4.387480613
1988-06-01,4.612333941
1988-07-01,4.65198281
1988-08-01,4.633284795
1988-09-01,4.67156076
1988-10-01,4.574468482
1988-11-01,4.691280839
1988-12-01,4.741324332
1989-01-01,4.723486606
1989-02-01,4.758804392
1989-03-01,4.720700101
1989-04-01,4.59859855
1989-05-01,4.736250341
1989-06-01,4.724806584
1989-07-01,4.85663347
1989-08-01,4.818196697
1989-09-01,4.67248583
1989-10-01,4.792601406
1989-11-01,4.796860832
1989-12-01,4.825075475
1990-01-01,4.882618792
1990-02-01,4.904509516
1990-03-01,5.168488466
1990-04-01,5.247451152
1990-05-01,5.152442029
1990-06-01,5.334121606
1990-07-01,5.449435709
1990-08-01,5.736043079
1990-09-01,5.792587855
1990-10-01,5.678116649
1990-11-01,5.568051025
1990-12-01,5.53740698
1991-01-01,5.770078409
1991-02-01,5.844499403
1991-03-01,5.456652321
1991-04-01,5.275343917
1991-05-01,5.209231728
1991-06-01,4.943056382
1991-07-01,4.74727399
1991-08-01,4.454717365
1991-09-01,4.497609646
1991-10-01,4.336425146
1991-11-01,4.369553829
1991-12-01,4.356866103
1992-01-01,3.988187113
1992-02-01,3.749960468
1992-03-01,3.851339963
1992-04-01,3.90155677
1992-05-01,3.760670642
1992-06-01,3.695388587
1992-07-01,3.585303479
1992-08-01,3.446802816
1992-09-01,3.193932876
1992-10-01,3.4463085
1992-11-01,3.449742629
1992-12-01,3.30044226
1993-01-01,3.352219515
1993-02-01,3.375068247
1993-03-01,3.166172224
1993-04-01,3.238557629
1993-05-01,3.346696979
1993-06-01,3.381305587
1993-07-01,3.255889097
1993-08-01,3.335217463
1993-09-01,3.443821211
1993-10-01,3.252291756
1993-11-01,3.259568917
1993-12-01,3.36629056
1994-01-01,3.200947439
1994-02-01,3.224560573
1994-03-01,3.363360549
1994-04-01,3.170573134
1994-05-01,3.060097684
1994-06-01,3.028227608
1994-07-01,3.056055923
1994-08-01,3.121133119
1994-09-01,3.079538638
1994-10-01,2.999188096
1994-11-01,2.984578071
1994-12-01,2.785434679
1995-01-01,3.002662378
1995-02-01,2.995605991
1995-03-01,3.062252995
1995-04-01,3.184097316
1995-05-01,3.234050813
1995-06-01,3.214124404
1995-07-01,3.274842995
1995-08-01,3.158840535
1995-09-01,3.250276745
1995-10-01,3.363775376
1995-11-01,3.273164714
1995-12-01,3.268078946
1996-01-01,3.178719964
1996-02-01,3.180150214
1996-03-01,3.054600698
1996-04-01,2.951186119
1996-05-01,2.99526099
1996-06-01,3.004889649
1996-07-01,3.051380889
1996-08-01,3.037152699
1996-09-01,3.039402299
1996-10-01,2.953140808
1996-11-01,2.998834802
1996-12-01,3.078266373
1997-01-01,2.953415051
1997-02-01,2.850478556
1997-03-01,2.896853207
1997-04-01,2.932535305
1997-05-01,2.877985963
1997-06-01,2.835803434
1997-07-01,2.768735207
1997-08-01,2.681189089
1997-09-01,2.578046769
1997-10-01,2.621910754
1997-11-01,2.552678937
1997-12-01,2.620230263
1998-01-01,2.658705279
1998-02-01,2.674784096
1998-03-01,2.652317533
1998-04-01,2.627904714
1998-05-01,2.612687688
1998-06-01,2.596711539
1998-07-01,2.589534761
1998-08-01,2.619592272
1998-09-01,2.597861759
1998-10-01,2.535457711
1998-11-01,2.520813404
1998-12-01,2.44488028
1999-01-01,2.4087818
1999-02-01,2.3506789
1999-03-01,2.2822686
1999-04-01,2.274017
1999-05-01,2.1969196
1999-06-01,2.1155256
1999-07-01,2.1609086
1999-08-01,2.152055
1999-09-01,2.1076373
1999-10-01,2.0959672
1999-11-01,2.1876394
1999-12-01,2.2011939
2000-01-01,2.3504356
2000-02-01,2.3919678
2000-03-01,2.4859336
2000-04-01,2.4108773
2000-05-01,2.5473184
2000-06-01,2.6938463
2000-07-01,2.7043448
2000-08-01,2.844609
2000-09-01,2.8755604
2000-10-01,2.8951252
2000-11-01,2.8381875
2000-12-01,2.9305429
2001-01-01,2.8561438
2001-02-01,2.9443798
2001-03-01,2.9342928
2001-04-01,3.062486
2001-05-01,3.0591613
2001-06-01,3.1834572
2001-07-01,3.1873481
2001-08-01,3.2358771
2001-09-01,3.3563551
2001-10-01,3.4508186
2001-11-01,3.5617818
2001-12-01,3.5136536
2002-01-01,3.4978798
2002-02-01,3.4836509
2002-03-01,3.4076534
2002-04-01,3.3894009
2002-05-01,3.3758193
2002-06-01,3.1868513
2002-07-01,3.1936793
2002-08-01,3.0730886
2002-09-01,2.9595389
2002-10-01,2.8766237
2002-11-01,2.7732559
2002-12-01,2.7502223
2003-01-01,2.7060319
2003-02-01,2.6347765
2003-03-01,2.5812321
2003-04-01,2.4271526
2003-05-01,2.3265512
2003-06-01,2.2477974
2003-07-01,2.2218166
2003-08-01,2.1540704
2003-09-01,2.1676604
2003-10-01,2.1482103
2003-11-01,2.0524895
2003-12-01,2.0144136
2004-01-01,2.0355379
2004-02-01,2.1035138
2004-03-01,2.1842462
2004-04-01,2.3157634
2004-05-01,2.2997495
2004-06-01,2.4233653
2004-07-01,2.3371421
2004-08-01,2.3497585
2004-09-01,2.3489764
2004-10-01,2.3445623
2004-11-01,2.3870582
2004-12-01,2.3864027
2005-01-01,2.3987315
2005-02-01,2.3735664
2005-03-01,2.3331537
2005-04-01,2.3204471
2005-05-01,2.4242376
2005-06-01,2.2935552
2005-07-01,2.3653537
2005-08-01,2.3301306
2005-09-01,2.3862565
2005-10-01,2.3816722
2005-11-01,2.4859772
2005-12-01,2.5169183
2006-01-01,2.4957249
2006-02-01,2.5420473
2006-03-01,2.6203838
2006-04-01,2.7080343
2006-05-01,2.8175496
2006-06-01,3.0394806
2006-07-01,3.094944
2006-08-01,3.204878
2006-09-01,3.1840443
2006-10-01,3.2560625
2006-11-01,3.1271153
2006-12-01,3.1148317
2007-01-01,3.1522756
2007-02-01,3.1700287
2007-03-01,3.1190543
2007-04-01,3.0062887
2007-05-01,2.8293126
2007-06-01,2.7009751
2007-07-01,2.6400399
2007-08-01,2.5998347
2007-09-01,2.6453727
2007-10-01,2.6564271
2007-11-01,2.798439
2007-12-01,2.8407389
2008-01-01,2.8615973
2008-02-01,2.7488494
2008-03-01,2.8270983
2008-04-01,2.8589686
2008-05-01,2.9326009
2008-06-01,3.0724734
2008-07-01,3.1567105
2008-08-01,3.2130463
2008-09-01,3.216438
2008-10-01,3.1100906
2008-11-01,2.9943854
2008-12-01,2.87277
2009-01-01,2.7854207
2009-02-01,2.7761062
2009-03-01,2.6637115
2009-04-01,2.5891659
2009-05-01,2.4783283
2009-06-01,2.2616096
2009-07-01,2.0590105
2009-08-01,1.9022783
2009-09-01,1.7247611
2009-10-01,1.6025574
2009-11-01,1.452156
2009-12-01,1.3811075
2010-01-01,1.2225891
2010-02-01,1.0912075
2010-03-01,0.96655014
2010-04-01,0.89983653
2010-05-01,0.83746334
2010-06-01,0.82548421
2010-07-01,0.78714627
2010-08-01,0.75048235
2010-09-01,0.73610008
2010-10-01,0.74137255
2010-11-01,0.86409736
2010-12-01,0.87637902
2011-01-01,1.0033789
2011-02-01,1.1657638
2011-03-01,1.2498888
2011-04-01,1.2986964
2011-05-01,1.3491834
2011-06-01,1.3969052
2011-07-01,1.5213769
2011-08-01,1.7420101
2011-09-01,1.7973795
2011-10-01,1.9065985
2011-11-01,1.9177675
2011-12-01,2.1132117
2012-01-01,2.1984213
2012-02-01,2.1068579
2012-03-01,2.1917819
2012-04-01,2.2433121
2012-05-01,2.2414846
2012-06-01,2.2899613
2012-07-01,2.3098703
2012-08-01,2.2152473
2012-09-01,2.2597788
2012-10-01,2.2377123
2012-11-01,2.2194376
2012-12-01,2.1401464
2013-01-01,2.0760846
2013-02-01,2.1440483
2013-03-01,2.1062838
2013-04-01,1.9658654
2013-05-01,1.9322544
2013-06-01,1.8939378
2013-07-01,1.8869455
2013-08-01,1.9216768
2013-09-01,1.8869765
2013-10-01,1.8732468
2013-11-01,1.9056004
2013-12-01,1.8852549
2014-01-01,1.8315635
2014-02-01,1.8101115
2014-03-01,1.8456695
2014-04-01,2.0228819
2014-05-01,2.1183686
2014-06-01,2.1339067
2014-07-01,2.1035862
2014-08-01,1.9908637
2014-09-01,2.0014988
2014-10-01,2.0535463
2014-11-01,2.0682839
2014-12-01,2.0417165
2015-01-01,2.0592479
2015-02-01,2.0579543
2015-03-01,2.0629211
2015-04-01,2.11742
2015-05-01,2.1282903
2015-06-01,2.1687246
2015-07-01,2.1721011
2015-08-01,2.1976946
2015-09-01,2.3055499
2015-10-01,2.3713747
2015-11-01,2.4002477
2015-12-01,2.4267429
2016-01-01,2.4706194
